Added,URL,ListedPrice,Year,Make,Model,Trim,Body,Mileage,ManualTF,Drivetrain,Fuel,HP,Displacement,Engine,Combined MPG,State,Title Issues,AccidentsTF,Owners,Rental Use?,Fleet Use?,Age,Country
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=312181210/NONE,15395,2012,Nissan,370Z,,Convertible,101100,FALSE,RWD,Gas,332,3.7,V6,21,TX,No,FALSE,3,No,No,9,Japan
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=307216195/NONE,29900,2002,Pontiac,Firebird Trans Am,,Convertible,31384,TRUE,RWD,Gas,325,5.7,V8,21,TX,No,FALSE,5,No,No,19,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=310011602/NONE,19999,2001,Porsche,Boxster,S,Convertible,59353,TRUE,RWD,Gas,250,3.2,H6,19,TX,No,FALSE,4,No,No,20,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=307961522/NONE,23995,2001,Porsche,911,Carrera,Convertible,80333,TRUE,RWD,Gas,300,3.4,H6,19,TX,No,FALSE,6,No,No,20,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=314802621/NONE,27801,2008,Porsche,Boxster,S,Convertible,30332,TRUE,RWD,Gas,295,3.4,H6,22,TX,No,FALSE,3,No,No,13,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=300543699/NONE,23200,2002,Porsche,911,Carrera 4,Convertible,103577,TRUE,AWD,Gas,320,3.6,H6,18,TX,No,FALSE,6,No,Yes,19,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=312874862/NONE,16191,2002,Porsche,Boxster,,Convertible,40900,FALSE,RWD,Gas,217,2.7,H6,19,TX,No,FALSE,4,No,No,19,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=312146381/NONE,15995,2002,Porsche,Boxster,S,Convertible,109429,FALSE,RWD,Gas,250,3.2,H6,19,TX,No,FALSE,7,No,No,19,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=313201653/NONE,5800,2009,Saturn,Sky,Red Line,Convertible,140477,FALSE,RWD,Gas,260,2,I4,23,TX,No,FALSE,2,No,No,12,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=301760802/NONE,5900,2006,Toyota,Camry,Solara,Convertible,142123,FALSE,FWD,Gas,225,3.3,V6,22,TX,No,FALSE,2,No,No,15,Japan
